 Time,Division,Ensemble,Scenario,Percentile,tasmax,tasmin,pr
1950-02-03 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P000,  -11.70,  -28.30,    0.00      
1950-02-03 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P025,  -10.40,  -27.00,    0.00      
1950-02-03 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P050,  -10.00,  -26.10,    0.00      
1950-02-03 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P075,   -9.50,  -25.60,    0.10      
1950-02-03 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P100,   -8.30,  -24.90,    0.10      
1950-02-03 12:00:00,0101,ACCESS1-0_r1i1p1,historical,MEAN,  -10.04,  -26.33,    0.03      
1950-02-04 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P000,   -3.70,  -25.20,    0.80      
1950-02-04 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P025,   -2.90,  -24.80,    0.90      
1950-02-04 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P050,   -2.60,  -24.60,    0.90      
1950-02-04 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P075,   -1.80,  -24.30,    0.90      
1950-02-04 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P100,   -1.00,  -23.60,    1.10      
1950-02-04 12:00:00,0101,ACCESS1-0_r1i1p1,historical,MEAN,   -2.42,  -24.53,    0.90      
1950-02-05 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P000,   -1.70,  -19.20,    0.50      
1950-02-05 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P025,   -1.10,  -17.70,    0.60      
1950-02-05 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P050,   -0.50,  -16.50,    0.70      
1950-02-05 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P075,   -0.20,  -15.50,    0.70      
1950-02-05 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P100,    0.20,  -12.70,    0.90      
1950-02-05 12:00:00,0101,ACCESS1-0_r1i1p1,historical,MEAN,   -0.65,  -16.53,    0.67      
1950-02-06 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P000,   -3.50,  -22.30,    0.00      
1950-02-06 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P025,   -2.70,  -21.10,    0.10      
1950-02-06 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P050,   -2.50,  -20.20,    0.10      
1950-02-06 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P075,   -2.00,  -19.50,    0.10      
1950-02-06 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P100,   -0.80,  -17.00,    0.10      
1950-02-06 12:00:00,0101,ACCESS1-0_r1i1p1,historical,MEAN,   -2.41,  -20.20,    0.10      
1950-02-07 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P000,   -9.20,  -35.50,    0.60      
1950-02-07 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P025,   -8.60,  -35.10,    0.70      
1950-02-07 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P050,   -8.20,  -34.80,    0.90      
1950-02-07 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P075,   -8.10,  -34.20,    1.10      
1950-02-07 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P100,   -7.30,  -33.40,    1.60      
1950-02-07 12:00:00,0101,ACCESS1-0_r1i1p1,historical,MEAN,   -8.33,  -34.67,    0.93      
1950-02-08 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P000,  -26.60,  -39.80,    0.00      
1950-02-08 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P025,  -26.30,  -39.30,    0.00      
1950-02-08 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P050,  -26.10,  -39.00,    0.00      
1950-02-08 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P075,  -25.60,  -38.50,    0.00      
1950-02-08 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P100,  -24.10,  -37.80,    0.00      
1950-02-08 12:00:00,0101,ACCESS1-0_r1i1p1,historical,MEAN,  -25.94,  -38.90,    0.00      
1950-02-09 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P000,  -20.30,  -34.30,    0.00      
